id,context_precision_score,context_precision_justificativa,contextual_relevancy_score,contextual_relevancy_justificativa,contextual_recall_score,contextual_recall_justificativa,faithfulness_score,faithfulness_justificativa,answer_relevance_score,answer_relevance_justificativa
19,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Pertinente à conclusão do modelo de sistema petrolífero.",1.0,"A combinação dos elementos ocorre em sua plenitude no contexto.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
20,1.0,"Informação chave está explícita no trecho.",1.0,"Contexto sem ruído sobre a evaporação intensa.",1.0,"Recupera o papel de barreira/trapa da camada.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
21,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Explica a compartimentação e a distribuição de fácies.",1.0,"Todos os aspectos estruturais e funcionais são recuperados.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
22,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Mostra a taxonomia da rocha calcária e seu ambiente.",1.0,"A ligação de conchas calcárias com o reservatório é clara.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
23,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Aborda especificamente as águas ultraprofundas na bacia.",1.0,"Traz as distâncias e camadas geológicas adequadas.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
24,1.0,"Informação chave está explícita no trecho.",1.0,"Contexto relevante para a retenção do óleo pela anidrita/halita.",1.0,"Preservação e selo são resgatados integralmente.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
25,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Processo deposicional evaporítico bem focado.",1.0,"A origem do sal é explicada em todos os seus passos no texto.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
26,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Focado na constituição petrofísica da Bacia de Santos.",1.0,"A fácies lacustre como principal produtora é plenamente resgatada.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
27,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Mostra apenas a estratigrafia relevante para Búzios.",1.0,"Associação da Barra Velha aos estromatólitos é 100% visível.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
28,1.0,"Informação chave está explícita no trecho.",1.0,"Relevância alta pela descrição do ambiente deposicional.",1.0,"Organização do sistema é clara e contida na fonte.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
29,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Contexto aborda halita de maneira direta e funcional.",1.0,"Recupera o conceito do cloreto atuando como barreira.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
30,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Exibe as rochas selantes sem incluir dados extras desnecessários.",1.0,"A justaposição de sal com o fechamento petrolífero está completa.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
31,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Altamente relevante à paleotopografia dos carbonatos.",1.0,"Resgata a relação estrutural do embasamento e a deposição.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
32,1.0,"Informação chave está explícita no trecho.",1.0,"Traz as evidências estratigráficas e de profundidade.",1.0,"O conceito do prefixo 'pré' refletir tempo é totalmente recuperado.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
33,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"O trecho se atém ao papel das rochas de baixa permeabilidade.",1.0,"A implicação da camada selante está 100% contida nos dados.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
34,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Foco na associação geológica da província da Bacia de Santos.",1.0,"Recupera as reservas, o óleo e as áreas expressivas.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
35,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Relevante para a geodinâmica e processos geradores.",1.0,"A separação continental e as depressões estão completas no texto.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
36,1.0,"Informação chave está explícita no trecho.",1.0,"Focado nas Formações do Campo de Mero exclusivamente.",1.0,"Barra Velha e Itapema são extraídas diretamente da fonte.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
37,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Contexto apresenta pressões e fluidos que provam a pergunta.",1.0,"A compartimentação é justificada integralmente pela fonte.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
38,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Traz a evidência exata dos poços NW.",1.0,"Recupera as correlações dos poços sem perdas.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
39,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Alta relevância nos desafios e complexidades petrofísicas de Mero.",1.0,"Rochas ígneas e CO2 constam exatamente no trecho de suporte.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
40,1.0,"Informação chave está explícita no trecho.",1.0,"Aborda as avaliações de porosidade e permeabilidade sem desvios.",1.0,"A capacidade de estocar e transmitir é recuperada das propriedades.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
41,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"A correlação Itapema e bivalves é direta e limpa no contexto.",1.0,"As evidências textuais não deixam lacunas para a resposta.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
42,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Apenas os litotipos da Barra Velha são abordados.",1.0,"Recupera esferulititos e intraclásticos com perfeição.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
43,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Altamente relevante à modelagem geocelular de reservatórios.",1.0,"Cobre a simulação de fluxo e avaliação volumétrica descritas.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
44,1.0,"Informação chave está explícita no trecho.",1.0,"Contexto resume os estudos multidisciplinares necessários.",1.0,"A integração das diversas disciplinas é resgatada por completo.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
45,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Foco temporal (idade aptiana) e estrutural (rifte oblíquo).",1.0,"O referencial geológico da Bacia está contido integralmente.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
46,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Trata diretamente do campo de Mero com dados de óleo.",1.0,"A coluna de 300m é perfeitamente recuperável do trecho.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
47,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Foco nos dados de pressão de diferentes poços da estrutura.",1.0,"A variação interna na geometria do fluido é plenamente recuperada.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
48,1.0,"Informação chave está explícita no trecho.",1.0,"Trata a existência de rochas não-reservatório no modelo.",1.0,"O impacto na complexidade de caracterização é resgatado do texto.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
49,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"A correlação dos estromatólitos com Barra Velha é objetiva.",1.0,"Os trechos recuperam a correlação estratigráfica sem perdas.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
50,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Focado na relação entre os bivalves e Itapema nos altos.",1.0,"Recall completo da associação biológica e deposicional.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
51,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Contexto aborda as medições divergentes na área de avaliação.",1.0,"Garante a explicação espacial correta dos fluidos do bloco.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
52,1.0,"Informação chave está explícita no trecho.",1.0,"Traz as extensões da bacia e o campo geográfico abordado.",1.0,"Porção norte e atributos dos reservatórios são bem extraídos.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
53,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Foco cirúrgico na integração de testes à petrografia.",1.0,"As propriedades de injetividade constam na íntegra do texto.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
54,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Aborda as características dos campos gigantes no modelo.",1.0,"Os carbonatos lacustres aptianos da bacia sustentam a resposta.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
55,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Focado nas qualidades permoporosas exatas das rochas locais.",1.0,"A citação das qualidades da Itapema e Barra Velha é integral.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
56,1.0,"Informação chave está explícita no trecho.",1.0,"Menciona os teores de fluido que afetam o gerenciamento de Mero.",1.0,"A composição de hidrocarboneto explica e suporta a resposta.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
57,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Aborda os modelos geocelulares combinando petrofísica e volume.",1.0,"A ligação entre faciológico e simulação de fluxo é completa.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
58,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Compara a litologia e formação de Búzios e Mero de forma útil.",1.0,"A associação aos dois campos como produtores pré-sal é evidente.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
59,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Dados de pressão confirmam que não há continuidade simplória.",1.0,"Identificação de fluido e pressões provam a distinção do poço.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
60,1.0,"Informação chave está explícita no trecho.",1.0,"Relaciona tectônica da bacia à época de formação de Itapema.",1.0,"A conexão de tempo/tectônica com a sequência está garantida.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
61,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Trecho descreve o uso de geofísica para verificação geológica.",1.0,"Recall permite concluir que a geometria e fácies são amarradas.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
62,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Pertinente ao ressaltar rochas ígneas vs detríticas/não-detríticas.",1.0,"A separação da litologia é justificada pelo trecho de suporte.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
63,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Focado nas especificidades de composição das fácies em análise.",1.0,"O texto suporta com 100% de precisão o reconhecimento da Formação.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
64,1.0,"Informação chave está explícita no trecho.",1.0,"Sem ruído: vincula bivalves com as formações descritas.",1.0,"Recall dos rudstones que indicam a resposta é completo.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
65,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Fornece os nomes dos poços com variação de regime hidrodinâmico.",1.0,"Comprova a compartimentação com dados diretos do trecho.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
66,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Trecho claro definindo que folhelhos geram petróleo em Campos.",1.0,"A associação entidade/função é totalmente contida no suporte.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
67,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Cobre a faixa entre Albiano e Mioceno para arenitos turbidíticos.",1.0,"Recupera o tipo de arenito predominante e as datas.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
68,1.0,"Informação chave está explícita no trecho.",1.0,"Sem ruído: correlaciona diretamente Carapebus com Turbiditos.",1.0,"O conceito das sequências e a formação são trazidos sem perdas.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
69,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Contexto claro ligando a fase geológica aos carbonatos locais.",1.0,"Macaé e Albiano são integralmente resgatados da fonte.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
70,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Contexto sobre o Arenito Namorado responde perfeitamente à datação.",1.0,"Recupera a correlação Macaé/Namorado/Turoniano.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
71,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Foco no Barremiano e na Formação Lagoa Feia.",1.0,"A litologia da carapaça de crustáceo prova a correlação exata.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
72,1.0,"Informação chave está explícita no trecho.",1.0,"Aborda as bacias limítrofes do sul com clareza geográfica.",1.0,"Alto de Cabo Frio extraído diretamente do limite sul explicitado.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
73,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Relevância cirúrgica ao referir o Alto de Vitória e as bacias.",1.0,"Permite compor toda a divisão norte da bacia sedimentar.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
74,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Mapeia todos os estágios da bacia sedimentar.",1.0,"O estágio 'drift' é perfeitamente justificado com o termo marinho.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
75,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Liga a evaporação da salmoura à evolução tectônica local.",1.0,"Recupera estágio proto-oceânico e evaporação da fonte com sucesso.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
76,1.0,"Informação chave está explícita no trecho.",1.0,"O texto aborda o mecanismo hiperpicnal com interesse petrolífero.",1.0,"Justifica perfeitamente a presença de fluidos em tais sedimentos.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
77,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Mostra a relação petrofísica dos grãos de areia dos turbiditos.",1.0,"A granulometria como indicativo de reserva está 100% contida.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
78,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Explica a nomenclatura informal da camada em Campos de forma limpa.",1.0,"Coquinas e carbonato microbial do pré-sal são resgatados exatos.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
79,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Apenas os litótipos de Campos na fase do andar geológico pedido.",1.0,"A relação microbial/aptiano é fornecida de forma plena e clara.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
80,1.0,"Informação chave está explícita no trecho.",1.0,"Correntes de turbidez submarinas sustentam o contexto da pergunta.",1.0,"Recall inclui sedimentos, fósseis pelágicos e águas ultraprofundas.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
81,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"O dado de descoberta de Anhangá é claro, focado e inédito.",1.0,"Permite relacionar Potiguar a albiano sem inferências duvidosas.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
82,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Traz a evidência de precedência na mesma região (Pitu Oeste).",1.0,"As datas e distâncias entre as descobertas são recuperadas com exatidão.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
83,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"A licença exploratória descrita na fonte não possui ruídos.",1.0,"A concessão e as distâncias estão no suporte extraído.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
84,1.0,"Informação chave está explícita no trecho.",1.0,"Relevância extrema para avaliar ensaios de campo vs análises.",1.0,"Justifica a viabilidade tec-comercial com os dados recuperados.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
85,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Trecho descreve as bacias distanciadas e o estado do Ceará/RN.",1.0,"A associação a Margem Equatorial é plena no texto de suporte.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
86,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Mostra a cota batimétrica que caracteriza a margem profunda.",1.0,"O dado da profundidade de lâmina d'água resolve a resposta toda.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
87,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"A parte de análise laboratorial de óleo está focada e direta.",1.0,"Recall permite deduzir que a perfuração ainda é inicial.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
88,1.0,"Informação chave está explícita no trecho.",1.0,"A enumeração dos componentes abrange a definição teórica da Wikipédia.",1.0,"Todos os litótipos são interligados para compor o modelo petrolífero.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
89,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"As rochas selantes citadas como exemplos estão no contexto.",1.0,"O capeamento do modelo de Campos recupera halita e folhelhos finos.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
90,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"O texto de superposição e geometria fornece a chave da deformação.",1.0,"O arranjo da trapa estrutural falhada garante o recall total.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
91,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Foco nas diferentes idades e seus reservatórios produtores.",1.0,"A estratigrafia de Albiano a Barremiano é listada no suporte.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
92,1.0,"Informação chave está explícita no trecho.",1.0,"Relevância centrada nas definições de rochas detríticas exatas.",1.0,"A ligação dos turbiditos à extensão geológica é mantida.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
93,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Vincula os formadores de arenitos profundos à Formação Carapebus.",1.0,"Recall fornece a evidência direta que a Formação é turbidítica.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
94,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Traz as granulometrias do turbidito (arenito vs pelito) focadas.",1.0,"Mostra as rochas porosas intercaladas às de baixa permeabilidade.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
95,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Foco teórico e conceitual muito bem centrado no Sistema Petrolífero.",1.0,"As funções de acumulação, geração e selo conectam os elementos.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
96,1.0,"Informação chave está explícita no trecho.",1.0,"Exibe atributos petrofísicos precisos que formam uma rocha reservatório.",1.0,"Permite deduzir que porosidade + permeabilidade bastam para o fluxo.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
97,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Textos associam matéria orgânica e folhelho negro sem distrações.",1.0,"O resgate das funções do sistema petrolífero cobre a reposta.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
98,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Menciona apenas a impermeabilidade necessária ao capeamento.",1.0,"Recall exato do folhelho e sal bloqueando os fluidos para cima.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
99,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Relevância cirúrgica nas rotas de ascensão em sistemas baciais.",1.0,"Migração como conceito chave está presente nos dados citados.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
100,1.0,"Informação chave está explícita no trecho.",1.0,"Traz o conceito de barreira estrutural em rochas sedimentares.",1.0,"A natural flutuabilidade e a barreira na migração compõem a resposta.",1.0,"Resposta extrai exatamente a entidade geológica.",1.0,"Foco total no questionamento principal."
101,1.0,"Trechos fornecem todas as premissas geológicas necessárias.",1.0,"Relevância concentrada na configuração estrutural que segura o óleo.",1.0,"A ligação das dobras/falhas à armadilha é extraída completamente.",1.0,"Sem alucinações; base estrita no texto recuperado.",1.0,"Alinhamento semântico perfeito com a pergunta."
102,1.0,"Evidência documental suficiente recuperada no contexto.",1.0,"Comparativo permeabilidade/porosidade nos dois elementos exato.",1.0,"A distinção do selo vs estocagem no reservatório é totalmente inferida.",1.0,"Conclusão deriva logicamente das fontes.",1.0,"Responde diretamente à entidade questionada."
103,1.0,"Contexto restringe perfeitamente o escopo temporal/espacial.",1.0,"Relevância ligada à densidade de fluidos no reservatório estático.",1.0,"A organização água/óleo/gás está na citação do SGB 100%.",1.0,"Fiel aos conceitos litológicos citados.",1.0,"Alta relevância direta sem desvios do tema."
